가수,제목,참고,key,
위대한쇼맨 OST,Rewrite The Stars,,,
AJR,burn the house down,,,
Anne Marie,2002,,,
Bahari,Savage,,,
Ben Folds,Still Fighting It,이태원 클라스 OST 버전,,
Charlie Puth,light switch ,,,
Christina Perri,A Thousands Years,,,
Christopher,Bad,, +3key,
"CHUNG HA, Christopher",Bad Boy,, +1key,
Claire Rosinkranz,Frankenstein,,,
Clean Bandit (Feat. Zara Larsson),★ Symphony ★,,,
Conan Gray,Overdrive,, +1key,
Connie Talbot,Count On Me,원곡 Bruno Mars,,
Ed Sheeran,Bad Habits,, +1key,
Ed Sheeran,Shape of you,,,
Frank Sinatra,fly me to the moon,,,
Frozen,All Is Found,, ,
Frozen,Do you Want To Build A Snowman,,,
Frozen,Into the Unknown,,,
Frozen,Let it go,가사 잘 모름,,
Frozen,Show Yourself,, +1key,
Harry Styles,Watermelon Sugar,, +2key,
Imagine Dragons,Bad Liar,, +3key,
Jason Derulo,Savage Love,, +1key,
Jeremy Zucker,comethru,, +4key,
Jeremy Zucker,"always, i'll care",, +3key,
Jeremy Zucker,talk is overrated,, +3key,
John Legend,All of Me,, +3key,
Justin Bieber,Ghost,,,
Justin Bieber,Love Yourself,, +6key,
Justin Bieber,Off My Face,, +3key,
Justin Bieber,Hold on,,,
John K,A LOT,, +5key or  +6key,
Lauv,Superhero,, +4key,ㅊ
Lauv,Reforget,, +4key,
Lauv,Breathe,, +4key,
Lauv,Feelings,, +3key,
Lauv,I Like Me Better,, +5key,
Lauv & Anne Marie,"fuck, i'm lonely",, +2key,
Lauv & Troye Sivan,i'm so tired...,, +3key,
Mae Muller,Therapist,,,
Maroon 5,payphone,랩 못함,,
Naomi Scott,Speechless,,,
Nana Ouyang,The Best For You,,,
Nana Ouyang,To Be Happy,1절까지만,,
Pharrell Williams,Happy,,,
Salem Ilese,Mad At Disney,,,
Sasha Alex Sloan,Dancing With Your Ghost,,,
Sasha Alex Sloan,Older,,,
Shawn Mendes,There's nothing holdin' me back,, +1key,
"SLANDER, Dylan Matthew",Love Is Gone,, +3key,
Tones And I,Dance Monkey,,,
Troye Sivan,Youth,, +3key,
Unlike Pluto,Everything black,,,
XXXTENTACION,SAD!,,,
Zedd & Alessia Cara,Stay,,,