가수,제목,참고,key
10cm,봄이좋냐?,, +3key
10cm,서랍 (그 해 우리는 OST),, +4key
구윤회,marry me,후반 가사 모름, +3key
김필,그때 그 아인,, +2key
경서,밤하늘의 별을,,
나래,호랑수월가,,
나래,호랑풍류가,,
다비치,그대를 잊는다는 건,,
달의하루,염라,,
레드벨벳,러시안룰렛,,
레드벨벳,빨간 맛,,
레드벨벳,피카부,,
레드벨벳,음파음파,,
레드벨벳,Power Up,,
레드벨벳,Psycho,,
마마무,너나해,,
마마무,고고베베,,
박보람,혜화동,,
박혜원,시든 꽃에 물을 주듯,고음 잘 못함,
박혜원,★ 차가워진 이 바람엔 우리가 써 있어 ★,고음 잘 못함,
버즈,가시,,
백현,너를 사랑하고 있어,, +4key
백현,UN Village,, +3key
벤,180도,,
볼빨간사춘기,나만 안 되는 연애,,
볼빨간사춘기,나비와 고양이,,
볼빨간사춘기,나의 사춘기에게,,
볼빨간사춘기,심술,,
볼빨간사춘기,싸운날,,
볼빨간사춘기,썸 탈꺼야,,
볼빨간사춘기,여행,,
볼빨간사춘기,우주를 줄게,,
볼빨간사춘기,워커홀릭,,
볼빨간사춘기,좋다고 말해,,
볼빨간사춘기,남이 될 수 있을까,,
볼빨간사춘기,Blue,,
블랙핑크,뚜두뚜두,,
블랙핑크,불장난,,
비비,우리가 헤어져야 했던 이유,,
선미,가시나,,
선우정아,고양이,,
샘김,여름비 (그 해 우리는 OST),, +4key
손디아,첫사랑 (어쩌다발견한하루 OST),,
숀,Way Back Home,, +3key
하진,We all lie (스카이 캐슬 OST),,
스텔라장,빌런 (Villain),,
심규선,아라리,연습 중,
아이오아이,소나기,,
아이브,Eleven,,
아이유,가을 아침,,
아이유,금요일에 만나요,,
아이유,너의 의미,,
아이유,드라마,,
아이유,라일락,,
아이유,밤편지,,
아이유,비밀의 화원,,
아이유,Love poem,,
아이유,삐삐,,
아이유,마음,,
아이유,미아,,
아이유,★ 좋은날 ★,3단 고음 빠꾸,
아이유,어푸,,
아이유,에잇,,
아이유,이 지금,신청 X,
아이유,정거장,,
아이유,겨울잠,,
아이유,밤편지,,
아이유,이름에게,,
아이유,을의 연애,,
아이유,Blueming,,
아이유,Celebrity,,
아이유,Coin,,
아이유,Flu,,
아이유,strawberry moon,,
악동뮤지션(AKMU),다이노소어,,
악동뮤지션(AKMU),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",,
악동뮤지션(AKMU),작은별,,
악동뮤지션(AKMU),Re-Bye,,
악동뮤지션(AKMU),Crescendo,,
악동뮤지션(AKMU) & Beenzino,째깍 째깍 째깍,랩 제외,
악동뮤지션(AKMU) & IU,낙하,,
악동뮤지션(AKMU) & Sam Kim,EVEREST,,
안예은,상사화,,
안예은,홍연,,
여자친구,밤,,
에일리,보여줄게,,
에일리,첫눈처럼 너에게 가겠다,,
오마이걸,돌핀,,
오마이걸,살짝 설렜어,하이라이트만,
옥상달빛,수고했어 오늘도,,
유아,숲의 아이,,
유아,자각몽,,
윤하,비밀번호 486,,
이무진,과제곡,,
이무진,신호등,,
이수현,ALIEN (에일리언),,
이영지,불안,엠알 없어서 당분간 안 부름,
이진아,시간아 천천히,,
자우림,스물다섯 스물하나,,
잔나비,사랑하긴 했었나요 스쳐가는 인연이었나요...,,
정은지,하늘바라기,,
제니,솔로,,
펀치,Done For Me,,
펀치,Love is you,,
"찬열, 펀치",Stay With Me,,
처진달팽이,말하는대로,,
청하,Love U,,
청하,벌써 12시,,
청하,Roller Coaster,,
청하,Why don't you know,,
청하,Snapping,,
첸,사월이 지나면 우리 헤어져요,,
태양,눈 코 입,,
태연,불티,,
코코 OST,Remember Me,,
트와이스,Dance the night away,,
트와이스,Fancy,,
하리,★ 조으다완전조으다 ★,,
헤이즈,비가 오는 날엔,,
헤이즈,헤픈 우연,,
BTS,작은 것들을 위한 시,,
BTS,전하지 못한 진심,,
BTS,Butter,,
BTS,Dynamite,, +1key
BTS,봄날,랩 잘 모름,
BTS,DNA,랩 잘 모름,
BTS,I Need You,,
BTS,불타오르네,가사 잘 모름,
BTS,피땀눈물,가사 잘 모름,
BTS,소우주 (Mikrocosmos),,
BTS,Butterfly,1절까지,
BTS 정국,Euphoria,,
BTS,permission to dance,,
EXO,나비소녀,, +2key
EXO,지나갈테니,, +2key
EXO,Sing for you,, +6key
EXO,Power,,
D.O.,괜찮아도 괜찮아,, +5key
D.O.,Rose,, +2key
sokodomo,회전목마,,
Mudd the student,불협화음,,
BTS V,Christmas Tree (그 해 우리는 OST),연습 중, +2key
소향 (모아나 OST),나 언젠간 떠날거야,,
겨울왕국 OST,태어나서 처음으로,,
겨울왕국 OST,같이 눈사람 만들래,,
겨울왕국2 OST,숨겨진 세상,,
겨울왕국2 OST,기억의 강,,
겨울왕국2 OST,보여줘,, +1key